name,species,family,habitat,place_of_found,diet,description,weight_kg
Bald Eagle,Haliaeetus leucocephalus,Accipitridae,"Forests, Coasts, and Lakes",North America,Carnivore,The bald eagle is a powerful bird of prey known for its white head and tail feathers.,6.3
Peacock,Pavo cristatus,Phasianidae,Forests and Grasslands,India,Omnivore,The peacock is a large and colorful bird known for its extravagant tail feathers.,4.5
Hornbill,Bucerotidae,Bucerotidae,Forests and Woodlands,"Africa, Asia",Omnivore,"Hornbills are medium-sized birds known for their large, curved bills.",2.7
Hummingbird,Trochilidae,Trochilidae,Tropical and Subtropical Regions,Americas,Nectar and Insects,"Hummingbirds are small, colorful birds known for their rapid wing beats and hovering abilities.",0.0025
Penguin,Spheniscidae,Spheniscidae,Antarctica,Antarctic Region,Carnivore,Penguins are flightless birds known for their distinctive black and white plumage.,25.0
Toucan,Ramphastidae,Ramphastidae,Rainforests,Central and South America,Fruits and Insects,"Toucans are brightly colored birds known for their large, colorful bills.",0.5
Albatross,Diomedeidae,Diomedeidae,Oceanic Regions,Southern Ocean,Carnivore,Albatrosses are large seabirds known for their long wingspans and impressive gliding abilities.,8.5
Flamingo,Phoenicopteridae,Phoenicopteridae,Saltwater and Brackish Lakes,"Africa, Americas",Omnivore,Flamingos are large wading birds known for their vibrant pink plumage and distinctive hooked bills.,2.5
Ostrich,Struthio camelus,Struthionidae,Grasslands and Deserts,Africa,Omnivore,Ostriches are flightless birds known for being the largest and fastest birds on land.,135.0
Snowy Owl,Bubo scandiacus,Strigidae,Arctic Tundra,Arctic Region,Carnivore,"Snowy owls are large, white owls known for their excellent hunting skills in snowy environments.",2.5
Toucanet,Aulacorhynchus,Ramphastidae,Rainforests,Central and South America,Fruits and Insects,"Toucanets are small, colorful birds related to toucans and known for their vibrant plumage.",0.2
Kingfisher,Alcedinidae,Alcedinidae,"Rivers, Lakes, and Ponds",Various regions,Carnivore,Kingfishers are small to medium-sized birds known for their brightly colored plumage and impressive diving and fishing skills.,0.1
Puffin,Fratercula,Alcidae,Coastal Cliffs,North Atlantic and North Pacific,Carnivore,Puffins are small seabirds known for their distinctive appearance with colorful beaks and bright plumage.,0.4
Blue Jay,Cyanocitta cristata,Corvidae,Forests and Woodlands,North America,Omnivore,"The blue jay is a strikingly beautiful bird with its blue and white plumage, known for its intelligence and raucous calls.",0.1
Bald Eagle,Haliaeetus leucocephalus,Accipitridae,Coastal and Lakeside Areas,North America,Carnivore,Bald eagles are large raptors known for their distinctive white head and tail feathers and powerful hunting abilities.,7.0
Woodpecker,Picidae,Picidae,Forests and Woodlands,Various regions,Insects and Nuts,Woodpeckers are medium-sized birds known for their strong beaks and drumming behavior on trees to find insects.,0.2
Emu,Dromaius novaehollandiae,Dromaiidae,Open grasslands and forests,Australia,"Herbivore (plants, seeds, fruits)","The emu is the second-largest bird in the world and is known for its long neck, strong legs, and fast running speed.",36.0
Resplendent Quetzal,Pharomachrus mocinno,Trogonidae,Cloud Forests,Central America,Frugivore,The resplendent quetzal is a magnificent and sacred bird known for its brilliant green and red plumage.,0.23
Black-browed Albatross,Thalassarche melanophris,Diomedeidae,Southern Ocean,South Atlantic and South Pacific,Carnivore,The Black-browed albatross is a large seabird with distinct black markings on its face and wings.,3.2
Swallow-tailed Toucan,Ramphastos sulfuratus,Ramphastidae,Rainforests,Central and South America,"Fruits, insects, lizards","The swallow-tailed toucan is a colorful bird with a large and vibrant bill, known for its graceful flight and acrobatic skills.",0.5
Swan,Cygnus,Anatidae,Lakes and Ponds,Various regions,Herbivore,Swans are elegant and graceful birds known for their long necks and beautiful swimming movements.,10.0
Belted Kingfisher,Megaceryle alcyon,Alcedinidae,"Rivers, streams, and lakes",North and Central America,"Carnivore (fish, insects, amphibians)",The belted kingfisher is a medium-sized bird known for its diving hunting technique and distinct blue and white plumage.,0.1
Horned Puffin,Fratercula corniculata,Alcidae,Coastal cliffs and islands,North Pacific,Carnivore,The horned puffin is a seabird known for its distinctive bright beak and unique horn-like projections above its eyes.,0.5
